rxn_id	old_dg	new_dg	diff	abs_diff	old_model_only	new_model_only	old_pH_correction	new_pH_correction	pH_correction_diff
rxn00103	-15.193752064381158	-15.221737351549962	-0.027985287168803552	0.027985287168803552	-10.3650575373494	-10.3650575373494	-4.828694527031757	-4.856679814200561	-0.027985287168803552
rxn00104	-11.807699363680129	-1.6202116815131333	10.187487682166996	10.187487682166996	0.0	0.0	-11.807699363680129	-1.6202116815131333	10.187487682166996
rxn00105	-31.119375244095394	-33.84554287674711	-2.726167632651716	2.726167632651716	-33.84275340858903	-33.84275340858903	2.7233781644936386	-0.002789468158077568	-2.726167632651716
rxn00106	-13.65171032619783	-24.554831618692155	-10.903121292494326	10.903121292494326	13.760450800885337	13.760450800885337	-27.412161127083166	-38.31528241957749	-10.903121292494326
rxn00107	-0.025270907143408294	-0.44425564451728405	-0.41898473737387576	0.41898473737387576	0.0	0.0	-0.025270907143408294	-0.44425564451728405	-0.41898473737387576
rxn00108	1.575811946349745	-0.2966861017512201	-1.8724980481009652	1.8724980481009652	44.49522323474639	44.49522323474639	-42.919411288396645	-44.79190933649761	-1.8724980481009652
rxn00109	264.54332101952485	264.48491487848776	-0.058406141037096404	0.058406141037096404	347.55706139546203	347.55706139546203	-83.01374037593716	-83.07214651697426	-0.058406141037096404
rxn00112	-132.62620661523943	-132.62404963195905	0.00215698328037206	0.00215698328037206	-174.21202021258046	-174.21202021258046	41.58581359734103	41.5879705806214	0.00215698328037206
rxn00113	2.442591313264387	0.5648753309199321	-1.877715982344455	1.877715982344455	120.33650473855101	120.33650473855101	-117.89391342528663	-119.77162940763108	-1.877715982344455
rxn00114	27.902001003142573	26.739918631125335	-1.1620823720172382	1.1620823720172382	106.57605393766588	106.57605393766588	-78.6740529345233	-79.83613530654054	-1.1620823720172382
rxn00115	466.5392317366367	466.5392317366367	0.0	0.0	587.9435271325119	587.9435271325119	-121.40429539587527	-121.40429539587527	0.0
rxn00116	11.769852997497878	-37.10616501175616	-48.87601800925404	48.87601800925404	47.60320420947437	47.60320420947437	-35.83335121197649	-84.70936922123053	-48.87601800925404
rxn00117	-2.1739349201415052	-0.1902381301706555	1.9836967899708497	1.9836967899708497	0.0	0.0	-2.1739349201415052	-0.1902381301706555	1.9836967899708497
rxn00118	0.7258659906675575	0.4869102115221722	-0.23895577914538535	0.23895577914538535	-44.49522323474639	-44.49522323474639	45.22108922541395	44.98213344626856	-0.23895577914538535
rxn00119	-37.22926268737581	10.931121711550873	48.16038439892668	48.16038439892668	-33.84275340858903	-33.84275340858903	-3.386509278786775	44.773875120139905	48.16038439892668
rxn00120	-23.28547476973648	-25.984805170034633	-2.6993304002981517	2.6993304002981517	13.760450800885337	13.760450800885337	-37.04592557062182	-39.74525597091997	-2.6993304002981517
